title,company,location,description,redirect_url,role,city,scraped_at,skills
Data Analyst,RISE Mutual CIC,"Bankside, South East London","The Data Analyst will support the development, implementation, and monitoring of the DRIVE Contract. Ensure that RISE is equipped with real time monitoring of business operations that will increase leverage for better decision making, planning and forecasting. Work collaboratively with all RISE departments and our partners to increase our value and reach our business goals together Key requirements: Develop, implement, monitor and maintain database systems for all contracts. Produce reports on …",https://www.adzuna.co.uk/jobs/land/ad/5258975915?se=giFuHYtO8BGYr7XIH1J3bQ&utm_medium=api&utm_source=3586d0fb&v=B341D6041F534B83AA8AB8AFE8D89B21B5FFAA5D,data analyst,london,2025-06-21,[]
Data Analyst,Lorien,"London, UK","Data Analyst London 6 Month Contract Via Umbrella Our UK leading banking client are looking for a Data Analyst to join their team on an initial 6-month contract. Key Skills: Data Tables Data Mapping Financial services SQL Json Mortgage experience desired If you find this opportunity intriguing and aligning with your skill set, we welcome the submission of your CV without delay. Carbon60, Lorien & SRG - The Impellam Group STEM Portfolio are acting as an Employment Business in relation to this va…",https://www.adzuna.co.uk/jobs/land/ad/5218234423?se=giFuHYtO8BGYr7XIH1J3bQ&utm_medium=api&utm_source=3586d0fb&v=6CAF95982EA6B099A998D9B4ED9C0888A9CCBB68,data analyst,london,2025-06-21,['sql']
Data Analyst,INTEC SELECT LIMITED,"London, UK","Data Analyst – IT Consultancy – £550-650pd Inside IR35 - Remote Overview: I’m currently partnered with a leading IT consultancy delivering innovative data and digital solutions to a range of enterprise clients across sectors including retail, healthcare, and manufacturing. The team thrives on solving complex business challenges using modern technologies and are now looking to expand their data capability with a skilled Data Analyst who can hit the ground running. You’ll play a key part in suppo…",https://www.adzuna.co.uk/jobs/land/ad/5241714272?se=giFuHYtO8BGYr7XIH1J3bQ&utm_medium=api&utm_source=3586d0fb&v=58667EBD374394932EF1C7C81DDD9EF4D33049DC,data analyst,london,2025-06-21,[]
Data Analyst,Harnham - Data & Analytics Recruitment,"London, UK","DATA ANALYST £40,000 - £50,000 LONDON - 2-3X A WEEK *Please note, this company is unable to sponsor, and you must be a UK resident to apply* THE COMPANY This organisation provides audience measurement for outdoor advertising, including billboards, public transport ads, and digital screens. It operates as a joint industry initiative, ensuring standardised, reliable data is used across the advertising sector. The team delivers insights on who sees these ads, covering demographics and exposure fre…",https://www.adzuna.co.uk/jobs/land/ad/5231421793?se=giFuHYtO8BGYr7XIH1J3bQ&utm_medium=api&utm_source=3586d0fb&v=3AFF33DE750ABE0942637A8591488D8316BEA7AB,data analyst,london,2025-06-21,[]
Principal Data Analyst,The Health Foundation,"Fleet Street, Central London","Principal Data Analyst, Improvement Analytics Unit (IAU) Hours Per week: 37.5 hours per week, you will be required to work in-person a minimum of two days per week in line with our hybrid working model. Our Foundation We are an independent charitable organisation working to build a healthier UK. Health is our most precious asset. Good health enables us to live happy, fulfilling lives, fuels our prosperity, and helps build a stronger society. Yet good health remains out of reach for too many peo…",https://www.adzuna.co.uk/jobs/land/ad/5253207521?se=giFuHYtO8BGYr7XIH1J3bQ&utm_medium=api&utm_source=3586d0fb&v=2246E952F1FDFE16BE43967B87EC2213A9255F8F,data analyst,london,2025-06-21,[]
Finance Data Analyst,Cedar Recruitment,"London, UK","Finance Data Analyst (6-month FTC) Salary: £60,000 - £80,000 (dependent on experience) Location: London (hybrid - 3 days in the office per week) Start date: ASAP (the hiring manager is only looking to interview candidates who have a maximum of 1-weeks notice) Our client, a leading retail company, is seeking a commercially astute and delivery-driven Finance Transformation Analyst to support a high-impact Finance Transformation Programme. This is a hands-on opportunity to play a critical role in …",https://www.adzuna.co.uk/jobs/land/ad/5255329907?se=giFuHYtO8BGYr7XIH1J3bQ&utm_medium=api&utm_source=3586d0fb&v=F4CA656205964C4E6A19343FBDF0BEF9CBA46FC4,data analyst,london,2025-06-21,[]
Data Analyst - SAP Data Models,Hays,"South East London, London","Data Analyst - SAP Data Models Up to £410 per day - Inside IR35 Hybrid - 1 -2 days a week on site 6 months initially My client is an instantly recognisable consultancy who require a Data Analyst with SAP Data Models expertise to join a business-critical programme for a high-profile end client. Key Requirements: Proven commercial experience working as a Data Analyst with expertise in SAP Data Models, in large complex organisations. Expertise in systems such as SAP and Snowflake. Previous experie…",https://www.adzuna.co.uk/jobs/land/ad/5258683937?se=giFuHYtO8BGYr7XIH1J3bQ&utm_medium=api&utm_source=3586d0fb&v=8A8B4651872974D1F6D5925407A104AAC235F6BD,data analyst,london,2025-06-21,[]
Data Analyst,SR2 | Socially Responsible Recruitment | Certified B Corporation™,"London, UK","Data Analyst | Outside IR35 | Remote | £340 p/d We are currently working with a market-leading client within the private sector who are looking for a Data Analyst. You'll be required to: Design, build, and maintain dashboards and reports using BigQuery Translate complex data into clear, actionable insights for stakeholders across customer operations. SQL is essential Have a strong level of data skills/analytics experience Why apply to this role? Our client is looking to pay £340 max outside of …",https://www.adzuna.co.uk/jobs/land/ad/5254317311?se=giFuHYtO8BGYr7XIH1J3bQ&utm_medium=api&utm_source=3586d0fb&v=2D020568FDAAC13B68A89C72E18D96BDBB185745,data analyst,london,2025-06-21,['sql']
Data Analyst,La Fosse,"London, UK","Data Analyst £50,000 - £55,000 London (Hybrid) We've partnered with a multinational retailing business who are looking for a Data Analyst to join their Technology function. As an SME for the department, this person will lead from the front from a technical perspective (Power BI) but also play a part in the upskilling of the rest of the function. This person will play a pivotal part in bridging the gap between Data Analysis and larger-scale decision-making for the team and wider business. This p…",https://www.adzuna.co.uk/jobs/land/ad/5215343294?se=giFuHYtO8BGYr7XIH1J3bQ&utm_medium=api&utm_source=3586d0fb&v=CDDA29736D42E90C38767512FE0EED9CFCE857ED,data analyst,london,2025-06-21,['power bi']
Data Analyst,Camino Search,"The City, Central London","Our client is a forward-thinking, PE backed organization and have experienced rapid growth over the last 2 years! They are looking to leveraging data to drive strategic decisions and improve outcomes. This role will suit a detail-oriented and analytical Data Analyst to join their growing team to support the senior leaders & finance teams to provide better MI visibility. Key Responsibilities: Collect, clean, and analyze large datasets to identify trends and insights. Create dashboards and report…",https://www.adzuna.co.uk/jobs/land/ad/5249033637?se=giFuHYtO8BGYr7XIH1J3bQ&utm_medium=api&utm_source=3586d0fb&v=B3A44A68A063B67DCE0D727EC85A320781421462,data analyst,london,2025-06-21,[]
