title,company,location,description,redirect_url,skills
Data Scientist,Peregrine,"The City, Central London","At Peregrine, were constantly seeking Specialist Talent that offer the ideal mix of skills, experience, and attitude, to place with our vast array of clients. From Project Change Professionals in large government organisations to Software Developers in the private sector we are always in search of the best talent to place, now. How Specialist Talent Works At Peregrine, we find the best talent for our clients. Unlike traditional contractors, where you are hired by the client, you remain a perman…",https://www.adzuna.co.uk/jobs/land/ad/5250572746?se=Iq3xeohO8BG_Ctxhj4VHjg&utm_medium=api&utm_source=3586d0fb&v=FD726266B301AFE5712D3DF55894B1EDC5C2E9E6,[]
Data Scientist,Sanderson,"London, UK","Role: Data Scientist Location: City of London Salary: £60,000 - £70,000 Working model: Hybrid (1-2 days per week in the office) My client, a leading insurance company, is looking for a Data Scientist to join their team. This is an exciting opportunity to become part of a well-established yet growing organisation. Key requirements for the role Strong experience with Snowflake, Python (advanced level), and Azure DevOp Proficient in SQL Your Python skills must be advance Experience with code versi…",https://www.adzuna.co.uk/jobs/land/ad/5218234982?se=Iq3xeohO8BG_Ctxhj4VHjg&utm_medium=api&utm_source=3586d0fb&v=FA281D39093D6B53A425D02DFC698EC5B355C13D,"['sql', 'azure', 'python']"
Senior Data Scientist,IO Associates,"London, UK","Senior Data Scientist £45,000-£65,000 London (Remote) iO Associates have partnered with a fast-growing data & AI product company. They are expanding their team and hiring a Senior Data Scientist to own technically rich projects, mentor junior team members, and drive the development of scalable, production-ready machine learning models. This role suits someone who is not only technically strong, but solution-oriented, strategically minded, and able to communicate insights clearly to both technic…",https://www.adzuna.co.uk/jobs/land/ad/5260533498?se=Iq3xeohO8BG_Ctxhj4VHjg&utm_medium=api&utm_source=3586d0fb&v=155B14B358BC794E2C859B30B9E4B4CC65970FDE,[]
Senior Data Scientist,Datix Limited,"Richmond, West London","RLDatix is on a mission to transform care delivery worldwide, ensuring every patient receives the safest, highest-quality care. Through our innovative Healthcare Operations Platform, we're connecting data to unlock trusted insights that enable improved decision-making and help deliver safer healthcare for all. At RLDatix were making healthcare safer, together. Our shared passion for meaningful work drives us, while a supportive, respectful culture makes it all possible. As a team, we collaborat…",https://www.adzuna.co.uk/jobs/land/ad/5200589480?se=Iq3xeohO8BG_Ctxhj4VHjg&utm_medium=api&utm_source=3586d0fb&v=33A0D3E77C9C98F08FA35F88C547DA2A6C023E03,[]
Data Scientist / Senior Data Scientist,C3 AI,"London, UK","C3 AI (NYSE: AI), is the Enterprise AI application software company. C3 AI delivers a family of fully integrated products including the C3 Agentic AI Platform, an end-to-end platform for developing, deploying, and operating enterprise AI applications, C3 AI applications, a portfolio of industry-specific SaaS enterprise AI applications that enable the digital transformation of organizations globally, and C3 Generative AI, a suite of domain-specific generative AI offerings for the enterprise As a…",https://www.adzuna.co.uk/jobs/land/ad/5244506679?se=Iq3xeohO8BG_Ctxhj4VHjg&utm_medium=api&utm_source=3586d0fb&v=1ABE8B9E64409F05BA7E0FFE07F823D448B260D4,[]
Data Scientist,SGI,"London, UK","Job Title: Data Scientist Salary: Up to £95k  bonus Location: London (3x in office) I am exclusively partnering with a growing hedge fund in the UK to support their search for a Data Scientist . This is a high-impact role where you'll apply cutting-edge NLP, LLMs, and generative AI to real-world business challenges. From automating internal workflows to building AI-first tools that uncover new insights, your work will directly influence how the organisation operates and grows. Responsibilities:…",https://www.adzuna.co.uk/jobs/land/ad/5232025276?se=Iq3xeohO8BG_Ctxhj4VHjg&utm_medium=api&utm_source=3586d0fb&v=6824B630CBAA2291475927A45DCF1004B493FCE9,['nlp']
Data Scientist,Albert Bow,"The City, Central London","AI Engineer / Data Scientist Location: London (Hybrid – 1 day per week in-office) Salary: Up to £90,000  10% bonus  equity We're looking for a curious, product-minded AI Engineer/Data Scientist to join a high-performing, close-knit team working on cutting-edge AI solutions in NLP and time series. This is a rare opportunity to contribute to both the experimentation and long-term success of impactful, user-facing AI systems. What You’ll Be Doing: Building and iterating on AI prototypes using NLP …",https://www.adzuna.co.uk/jobs/land/ad/5254328984?se=Iq3xeohO8BG_Ctxhj4VHjg&utm_medium=api&utm_source=3586d0fb&v=7708C813BCC4E208DF81B4D49C520C29E06AFD88,['nlp']
Data Scientist,Albert Bow,"London, UK","AI Engineer / Data Scientist Location: London (Hybrid – 1 day per week in-office) Salary: Up to £90,000  10% bonus  equity We're looking for a curious, product-minded AI Engineer/Data Scientist to join a high-performing, close-knit team working on cutting-edge AI solutions in NLP and time series. This is a rare opportunity to contribute to both the experimentation and long-term success of impactful, user-facing AI systems. What You’ll Be Doing: Building and iterating on AI prototypes using NLP …",https://www.adzuna.co.uk/jobs/land/ad/5254340628?se=Iq3xeohO8BG_Ctxhj4VHjg&utm_medium=api&utm_source=3586d0fb&v=6C33CA2103279D12BB0ED51EC0911FCF0391DA24,['nlp']
Data Scientist,83zero,"London, UK",Principal Data Scientist (Offering Lead) Up to £100k base  benefits and bonus London/ Hybrid My growing consulting client is looking for a Principal Data Scientist (Offering Lead) within their Data and AI practice. We are seeking a Principal Data Scientist with exceptional commercial acumen and a strong focus on driving business growth through data-driven insights and leveraging AI solutions. This role is ideal for a strategic technical leader who combines deep technical expertise in data scien…,https://www.adzuna.co.uk/jobs/land/ad/5254323128?se=Iq3xeohO8BG_Ctxhj4VHjg&utm_medium=api&utm_source=3586d0fb&v=D37B81197A41B1D1587F11DA57BFB3C3F13C5C08,[]
Data Scientist,83zero,"The City, Central London",Principal Data Scientist (Offering Lead) Up to £100k base  benefits and bonus London/ Hybrid My growing consulting client is looking for a Principal Data Scientist (Offering Lead) within their Data and AI practice. We are seeking a Principal Data Scientist with exceptional commercial acumen and a strong focus on driving business growth through data-driven insights and leveraging AI solutions. This role is ideal for a strategic technical leader who combines deep technical expertise in data scien…,https://www.adzuna.co.uk/jobs/land/ad/5254333148?se=Iq3xeohO8BG_Ctxhj4VHjg&utm_medium=api&utm_source=3586d0fb&v=ECE387B00BAAD71BCEB2D8AE078EC7FD49A65FBB,[]
Data Scientist,Harnham,"The City, Central London","Senior Marketing Data Scientist Up to £75,000 Hybrid - London A great opportunity to join a leading customer data science company as a Senior Marketing Data Scientist THE BUSINESS The business is a global leader in customer data science, empowering businesses to compete and thrive in the modern-data driven economy always putting the customer first. Enabling businesses to grow and diversify by utilising and understanding data and ensuring the customer is put first. Joining the business as a Seni…",https://www.adzuna.co.uk/jobs/land/ad/5248996038?se=Iq3xeohO8BG_Ctxhj4VHjg&utm_medium=api&utm_source=3586d0fb&v=3BF151C5F7703906494B404F7C999C23B87CCF77,[]
Data Scientist,Harnham,"London, UK","Senior Marketing Data Scientist Up to £75,000 Hybrid - London A great opportunity to join a leading customer data science company as a Senior Marketing Data Scientist THE BUSINESS The business is a global leader in customer data science, empowering businesses to compete and thrive in the modern-data driven economy always putting the customer first. Enabling businesses to grow and diversify by utilising and understanding data and ensuring the customer is put first. Joining the business as a Seni…",https://www.adzuna.co.uk/jobs/land/ad/5208176509?se=Iq3xeohO8BG_Ctxhj4VHjg&utm_medium=api&utm_source=3586d0fb&v=D21DDF952FCE4022CF9216603016FE1FD6C9F654,[]
Data Scientist,Understanding Recruitment,"London, UK"," Consumer AI | London | AI Engineer / Data Scientist A fast-moving insights & analytics startup is searching for an AI Engineer / Data Scientist to help build cutting-edge data science solutions powered by digital consumer signals. The team works with massive volumes of digital data, turning it into clear, actionable insights using NLP, LLMs, and advanced marketing data science, helping brands make smarter, faster decisions. This team blends deep technical expertise with startup agility, and th…",https://www.adzuna.co.uk/jobs/land/ad/5247753496?se=Iq3xeohO8BG_Ctxhj4VHjg&utm_medium=api&utm_source=3586d0fb&v=5573CD0AE799BFB43ADEECBDDB845E454EA26841,['nlp']
Data Scientist,Understanding Recruitment,"The City, Central London"," Consumer AI | London | AI Engineer / Data Scientist A fast-moving insights & analytics startup is searching for an AI Engineer / Data Scientist to help build cutting-edge data science solutions powered by digital consumer signals. The team works with massive volumes of digital data, turning it into clear, actionable insights using NLP, LLMs, and advanced marketing data science, helping brands make smarter, faster decisions. This team blends deep technical expertise with startup agility, and th…",https://www.adzuna.co.uk/jobs/land/ad/5249038278?se=Iq3xeohO8BG_Ctxhj4VHjg&utm_medium=api&utm_source=3586d0fb&v=1FB9F0BBEF9490CD5684CB77FA654AB9E945684B,['nlp']
Data Scientist,Harnham,"The City, Central London","DATA SCIENTIST LONDON (HYBRID - 3 Days Per Week) UP to £60,000 COMPANY: This company is a global leader in Customer Data Science, who work across customer analytics and loyalty working as a consultancy services giving you’re the opportunity to work with market leading business & retailers! They are looking for a Data Scientist to join their Data Science team! RESPONSIBILITIES: Work on designing and building advanced ML models - including propensity and clustering Apply machine learning, statist…",https://www.adzuna.co.uk/jobs/land/ad/5249082523?se=Iq3xeohO8BG_Ctxhj4VHjg&utm_medium=api&utm_source=3586d0fb&v=57CEBAB43733F3C5E43A356CA2E3256C6BC63204,[]
Data Scientist,Harnham,"London, UK","DATA SCIENTIST LONDON (HYBRID - 3 Days Per Week) UP to £60,000 COMPANY: This company is a global leader in Customer Data Science, who work across customer analytics and loyalty working as a consultancy services giving you’re the opportunity to work with market leading business & retailers! They are looking for a Data Scientist to join their Data Science team! RESPONSIBILITIES: Work on designing and building advanced ML models - including propensity and clustering Apply machine learning, statist…",https://www.adzuna.co.uk/jobs/land/ad/5170678388?se=Iq3xeohO8BG_Ctxhj4VHjg&utm_medium=api&utm_source=3586d0fb&v=70D3D956CF704BE7CECD117022806D8AF1D87CA0,[]
Data Scientist,Harnham,"The City, Central London","DATA SCIENTIST/DATA SCIENCE ANALYST - Private Equity/Investment HYBRID - 4 Days a week in central London office Up to £70,000  benefits COMPANY: We are working with a market leading Private Equity/Investment firm to bring a new Data Scientist into their team. This will be the second hire into the team, so there is plenty of room to make an impact. This is a great opportunity for a Data Scientist with a couple of years of industry experience looking for a change! ROLE: Closely work with the team…",https://www.adzuna.co.uk/jobs/land/ad/5249399754?se=Iq3xeohO8BG_Ctxhj4VHjg&utm_medium=api&utm_source=3586d0fb&v=CE531D6A8E18FD2F321AABB167866D980959349B,[]
Data Scientist,Harnham,"London, UK","DATA SCIENTIST/DATA SCIENCE ANALYST - Private Equity/Investment HYBRID - 4 Days a week in central London office Up to £70,000  benefits COMPANY: We are working with a market leading Private Equity/Investment firm to bring a new Data Scientist into their team. This will be the second hire into the team, so there is plenty of room to make an impact. This is a great opportunity for a Data Scientist with a couple of years of industry experience looking for a change! ROLE: Closely work with the team…",https://www.adzuna.co.uk/jobs/land/ad/5170677355?se=Iq3xeohO8BG_Ctxhj4VHjg&utm_medium=api&utm_source=3586d0fb&v=3105F6C90C1414251C538B361F0FE789680A3D7E,[]
Data Scientist,Harnham,"The City, Central London","Data Scientist - Property London – Hybrid Up to £65,000 About the Role A leading London-based data and technology company in the property space is looking for a Data Scientist to join their growing product-focused team. This is an exciting opportunity to work as a full stack/ end to end Data Scientist, driving real business impact. You’ll collaborate closely with stakeholders to build and deploy ML models and data-driven tools that are core to the company’s commercial offerings. Key Responsibil…",https://www.adzuna.co.uk/jobs/land/ad/5248919126?se=Iq3xeohO8BG_Ctxhj4VHjg&utm_medium=api&utm_source=3586d0fb&v=65D0CB6A436FCD8123A024B0A5301F20CFAFED5C,[]
Data Scientist,Harnham,"London, UK","Data Scientist - Property London – Hybrid Up to £65,000 About the Role A leading London-based data and technology company in the property space is looking for a Data Scientist to join their growing product-focused team. This is an exciting opportunity to work as a full stack/ end to end Data Scientist, driving real business impact. You’ll collaborate closely with stakeholders to build and deploy ML models and data-driven tools that are core to the company’s commercial offerings. Key Responsibil…",https://www.adzuna.co.uk/jobs/land/ad/5175661363?se=Iq3xeohO8BG_Ctxhj4VHjg&utm_medium=api&utm_source=3586d0fb&v=6F621D4E3D585B900B2CFBED50DAC64D46CE676A,[]
Data Scientist,Harnham,"The City, Central London","Data Scientist Hybrid – London (3 days a week) Up to £75,000  Pension  Share Scheme About the Role We’re working with a professional services firm undergoing a major data transformation, now looking to bring on board their first in-house Data Scientist . Reporting directly into the CFO, you’ll take the lead on developing and managing the firm’s data infrastructure, starting with the continued build-out and integration of their data lake. You’ll work on high-impact reporting and analytics projec…",https://www.adzuna.co.uk/jobs/land/ad/5249081682?se=Iq3xeohO8BG_Ctxhj4VHjg&utm_medium=api&utm_source=3586d0fb&v=4C2F8EE36636C41EF44DFB59B945F37A5AD419D3,[]
Data Scientist,Harnham,"London, UK","Senior Data Scientist London – Hybrid Up to £70,000 About the Role I’m currently partnered with a global leader in data, insights, and consulting who are looking to bring on a Senior Data Scientist to join their highly respected data team. This is a high-impact opportunity focused on yield optimisation – using data science to drive better consistency, forecast accuracy, and operational efficiency. You’ll work closely with both commercial and technical stakeholders to develop data-driven strateg…",https://www.adzuna.co.uk/jobs/land/ad/5257391261?se=Iq3xeohO8BG_Ctxhj4VHjg&utm_medium=api&utm_source=3586d0fb&v=E0CBCACA7AD83E4CAB4C18910B53B88E75373278,[]
Data Scientist,Harnham,"The City, Central London","Senior Data Scientist London – Hybrid Up to £70,000 About the Role I’m currently partnered with a global leader in data, insights, and consulting who are looking to bring on a Senior Data Scientist to join their highly respected data team. This is a high-impact opportunity focused on yield optimisation – using data science to drive better consistency, forecast accuracy, and operational efficiency. You’ll work closely with both commercial and technical stakeholders to develop data-driven strateg…",https://www.adzuna.co.uk/jobs/land/ad/5257393473?se=Iq3xeohO8BG_Ctxhj4VHjg&utm_medium=api&utm_source=3586d0fb&v=E59B59178849FD2CD6A3F06ADD407C63651D0D04,[]
Data Scientist,Harnham,"London, UK","Data Scientist Hybrid – London (3 days a week) Up to £75,000  Pension  Share Scheme About the Role We’re working with a professional services firm undergoing a major data transformation, now looking to bring on board their first in-house Data Scientist . Reporting directly into the CFO, you’ll take the lead on developing and managing the firm’s data infrastructure, starting with the continued build-out and integration of their data lake. You’ll work on high-impact reporting and analytics projec…",https://www.adzuna.co.uk/jobs/land/ad/5234162928?se=Iq3xeohO8BG_Ctxhj4VHjg&utm_medium=api&utm_source=3586d0fb&v=4712EB02182C300459F7FE2102AE9956ACA53B47,[]
Data Scientist,Understanding Recruitment,"The City, Central London"," Net Zero | London | Data Science We're looking for a Data Scientist to join a fast-growing Energy Tech startup building the critical infrastructure to accelerate net-zero goals. Backed by top VCs and angel investors (previously invested in Meta, BeReal, Slack, and more!), this team is developing cutting-edge solutions to optimize energy usage - predicting and balancing demand in real time to shift consumption to greener, cheaper power Location: London (Hybrid, 2/3 days in-office)  Why join? Wo…",https://www.adzuna.co.uk/jobs/land/ad/5254333544?se=Iq3xeohO8BG_Ctxhj4VHjg&utm_medium=api&utm_source=3586d0fb&v=57E63D7A3FFB9206FE54851B6ACC242D28B93F72,[]
Data Scientist,Understanding Recruitment,"London, UK"," Net Zero | London | Data Science We're looking for a Data Scientist to join a fast-growing Energy Tech startup building the critical infrastructure to accelerate net-zero goals. Backed by top VCs and angel investors (previously invested in Meta, BeReal, Slack, and more!), this team is developing cutting-edge solutions to optimize energy usage - predicting and balancing demand in real time to shift consumption to greener, cheaper power Location: London (Hybrid, 2/3 days in-office)  Why join? Wo…",https://www.adzuna.co.uk/jobs/land/ad/5254332356?se=Iq3xeohO8BG_Ctxhj4VHjg&utm_medium=api&utm_source=3586d0fb&v=7566600C1507E0520F6C1AE21FADE1605D21997C,[]
Data Scientist,Harnham,"The City, Central London","Data Scientist - Marketing/Customer Analytics London/Reading– Hybrid (2 days in London, 1 day in Reading) (Flexi Hours) Up to £60,000  Benefits About the Role A leading research and insights company is looking for a Data Scientist to join their growing team. With a strong focus on data-driven decision-making, they help brands across entertainment, tech, sports, and consumer goods maximise their marketing impact. You’ll be part of a collaborative Data Science team, working on large-scale dataset…",https://www.adzuna.co.uk/jobs/land/ad/5248917366?se=Iq3xeohO8BG_Ctxhj4VHjg&utm_medium=api&utm_source=3586d0fb&v=6906DC69D15D7CD4E23B4D29AF531AF726700F46,[]
Data Scientist,Harnham,"London, UK","Data Scientist - Marketing/Customer Analytics London/Reading– Hybrid (2 days in London, 1 day in Reading) (Flexi Hours) Up to £60,000  Benefits About the Role A leading research and insights company is looking for a Data Scientist to join their growing team. With a strong focus on data-driven decision-making, they help brands across entertainment, tech, sports, and consumer goods maximise their marketing impact. You’ll be part of a collaborative Data Science team, working on large-scale dataset…",https://www.adzuna.co.uk/jobs/land/ad/5170687521?se=Iq3xeohO8BG_Ctxhj4VHjg&utm_medium=api&utm_source=3586d0fb&v=7D7DCC0CEF1F0BD74AD10798BB22FA274EDDC48C,[]
Data Scientist,Intellect Group,"The City, Central London","Are you a curious and driven early-career professional eager to shape the future through Artificial Intelligence and Data Science? We’re looking for a Junior AI & Data Scientist to join our forward-thinking London-based team and contribute to transformative AI initiatives from day one! In this role, you’ll collaborate with machine learning engineers, product teams, and domain experts to design and deploy AI models that solve real-world problems. From natural language processing to computer visi…",https://www.adzuna.co.uk/jobs/land/ad/5248918882?se=Iq3xeohO8BG_Ctxhj4VHjg&utm_medium=api&utm_source=3586d0fb&v=BA92E5E9DFF851D49F1FE56804D7998E00CB3375,[]
Data Scientist,Intellect Group,"London, UK","Are you a curious and driven early-career professional eager to shape the future through Artificial Intelligence and Data Science? We’re looking for a Junior AI & Data Scientist to join our forward-thinking London-based team and contribute to transformative AI initiatives from day one! In this role, you’ll collaborate with machine learning engineers, product teams, and domain experts to design and deploy AI models that solve real-world problems. From natural language processing to computer visi…",https://www.adzuna.co.uk/jobs/land/ad/5170678620?se=Iq3xeohO8BG_Ctxhj4VHjg&utm_medium=api&utm_source=3586d0fb&v=9B8D13BAA4BC8C889CA8041EB30E7D6BC250E7C9,[]
Data Scientist,Harnham,"The City, Central London","Data Scientist London (Hybrid Working) £65,000 - £75,000 An established professional services business with ambitions for growth is looking to hire a hands-on, commercially minded data professional. This newly created role will sit at the intersection of data engineering and data science, supporting both operational reporting and long-term strategic insight projects. With a lean but evolving technology function, the business is investing in its data capabilities and seeking someone who can work…",https://www.adzuna.co.uk/jobs/land/ad/5249081483?se=Iq3xeohO8BG_Ctxhj4VHjg&utm_medium=api&utm_source=3586d0fb&v=376C283F80C3CA4675F957F8DECC2F8FEEA1246F,[]
Data Scientist,Harnham,"London, UK","Data Scientist London (Hybrid Working) £65,000 - £75,000 An established professional services business with ambitions for growth is looking to hire a hands-on, commercially minded data professional. This newly created role will sit at the intersection of data engineering and data science, supporting both operational reporting and long-term strategic insight projects. With a lean but evolving technology function, the business is investing in its data capabilities and seeking someone who can work…",https://www.adzuna.co.uk/jobs/land/ad/5224356993?se=Iq3xeohO8BG_Ctxhj4VHjg&utm_medium=api&utm_source=3586d0fb&v=CDD231C5CDAA56CADC1AF23CD394BD61018E0E32,[]
Data Scientist,Quest Search and Selection,"The City, Central London","Data Scientist – Category Management (with ML/AI Focus) About the Role: Quest Search & Selection is working with a leading tech-driven eCommerce platform specializing in consumer goods and rapid delivery. Offering a wide product assortment; including groceries, household essentials, over-the-counter medicine, office supplies, and fresh food. The business leverages data and innovation at scale to drive customer satisfaction and operational excellence. We are seeking a Data Scientist – Category M…",https://www.adzuna.co.uk/jobs/land/ad/5259165344?se=Iq3xeohO8BG_Ctxhj4VHjg&utm_medium=api&utm_source=3586d0fb&v=F8870AE54402D2F336493F244A03E765D3FEFB61,[]
Data Scientist,Quest Search and Selection,"London, UK","Data Scientist – Category Management (with ML/AI Focus) About the Role: Quest Search & Selection is working with a leading tech-driven eCommerce platform specializing in consumer goods and rapid delivery. Offering a wide product assortment; including groceries, household essentials, over-the-counter medicine, office supplies, and fresh food. The business leverages data and innovation at scale to drive customer satisfaction and operational excellence. We are seeking a Data Scientist – Category M…",https://www.adzuna.co.uk/jobs/land/ad/5259166051?se=Iq3xeohO8BG_Ctxhj4VHjg&utm_medium=api&utm_source=3586d0fb&v=E0E3AD6EDA9D68B81F95BA5B754DB1711A7C76E9,[]
